year,month,date,commuting_hours,weekend_nights
1966,1,1966-01-01,1290,966
1966,2,1966-02-01,1236,931
1966,3,1966-03-01,1335,917
1966,4,1966-04-01,1405,947
1966,5,1966-05-01,1349,968
1966,6,1966-06-01,1389,1022
1966,7,1966-07-01,1375,923
1966,8,1966-08-01,1367,845
1966,9,1966-09-01,1268,801
1966,10,1966-10-01,1329,917
1966,11,1966-11-01,1294,1010
1966,12,1966-12-01,1561,943
1967,1,1967-01-01,1371,931
1967,2,1967-02-01,1315,1014
1967,3,1967-03-01,1250,949
1967,4,1967-04-01,1296,907
1967,5,1967-05-01,1355,968
1967,6,1967-06-01,1329,1004
1967,7,1967-07-01,1433,1022
1967,8,1967-08-01,1296,927
1967,9,1967-09-01,1383,869
1967,10,1967-10-01,1343,344
1967,11,1967-11-01,1232,484
1967,12,1967-12-01,1298,436
1968,1,1968-01-01,1363,552
1968,2,1968-02-01,1437,703
1968,3,1968-03-01,1397,683
1968,4,1968-04-01,1290,594
1968,5,1968-05-01,1286,649
1968,6,1968-06-01,1274,719
1968,7,1968-07-01,1276,665
1968,8,1968-08-01,1325,611
1968,9,1968-09-01,1311,639
1968,10,1968-10-01,1319,619
1968,11,1968-11-01,1451,621
1968,12,1968-12-01,1106,
